Nom	XP
Clef de la Fabrique de foux d'artifice	57,849
Clef du Dojo du vent	57,849
Bidoche Séchée	58,834
Clef de la salle du Minotot	59,35
Clef de la Galerie du Phossile	59,63
Cloche de Barbéryl Clochecuivre	61
Corne d'Ombre	61
Cuir de Fuji Givrefoux	61
Griffe de Kolosso	61
Poils du Comte Razof	61
Poudre glaciale	61
Queue de Glourséleste	61
Bidoche Avariée	62,212
Cervelle de Solar	62,953
Clef du Laboratoire du Tynril	63,813
Larme de Givrefoux	65
Jus de poisson abominable	66,345
Étoffe de Croleur	67,418
Manubrium de Wolvero	67,418
Oreille de Blérice	67,418
Poil de Blérauve	67,418
Queue de Blérom	67,418
Vomer d'Apériglours	67,418
Ambre du Chêne Mou	69,598
Œil de Fleuro	69,703
Peau de Skeunk	71,088
Queue du Royalmouth	71,088
Corne Brûlée du Minotoror	71,635
Crochet rouillé	72,5
Clef du Plateau de Ush	73,162
Sang de Calciné	73,885
Clef du Tertre du long sommeil	74,665
Fragment de pépite de Sakaï	74,838
Aile de Gloursaya	75
Bonnet de Guerre	75
Bouteille de Bouchonnois	75
Calcanéus de Meliglours	75
Étoffe de Glourmand	75
Iris de Boulglours	75
Laine de Glouragan	75
Plume de Misère	75
Poils de barbe de Marteau-Aigri	75
Trame Dimensionnelle	75
Verrou de Servitude	75
Manche du Grattoir	75,995
Clef de l'hypogée de l'Obsidiantre	76,645
Clef du Grolandais violent	80,872
Corne de Corruption	81,893
Symbole des Obscuranti	82,931
Bidoche Sanguinolente	84,146
Aile de Larve de Koutoulou	84,375
Aile de Vortex	84,375
Barbe de Merkator	84,375
Broderie de la Prêtresse de Kao	84,375
Broderie de la Reine des Voleurs	84,375
Broderie de Nileza	84,375
Cheveux de Tal Kasha	84,375
Dé du Chalœil	84,375
Dentier de Dantinéa	84,375
Écaille de Torkélonia	84,375
Épaulière de Dazak Martegel	84,375
Joyau de la couronne du roi Nidas	84,375
Laine de Sylargh	84,375
Masque cauchemardesque de l'Éternel Conflit	84,375
Moustache de Klime	84,375
Noyau de Protozorreur	84,375
Pic d'Anerice	84,375
Plume d'Ilyzaelle	84,375
Poil d'aisselle de Missiz Frizz	84,375
Poil de Meno	84,375
Pointe osseuse de Grasmera	84,375
Queue de Bethel Akarna	84,375
Rouge à lèvres de Belladone	84,375
Scapula du Comte Harebourg	84,375
Sceptre brisé de Kabahal	84,375
Potion de Sésanabolisant	85,846
Clef de la Grotte de Kanigroula	86,699
Clef de la Canopée du Kimbo	87,707
Étoile d'Or d'El Piko	89,876
Œuf de Haute Truche	89,876
Clef de la Tombe du Shogun Tofugawa	91,416
Tissu de Rapiéçage	92,532
Dissolvant Phosphorescent	97,065
Culotte à l'envers du Roissingue	97,29
Manche de Knout	97,5
Scie à glace	98,438
Élixir de Brumen	100
Étoffe Mystérieuse	100
Bidoche Rassie	100,28
Bec de Dodox	101,25
Bec de Granduk	101,25
Bec de Strigide	101,25
Broderie d'Eskoglyphe	101,25
Brûlâme encapsulé	101,25
Carapace de Termystique	101,25
Cervelle de Peunch	101,25
Cervelle de Verglasseur	101,25
Chaussette du Cyclophandre	101,25
Chope de Bière	101,25
Cire de Cire Momore	101,25
Cœur d'Empaillé	101,25
Coquille de Submergé	101,25
Crinière de Krakal	101,25
Culotte de Harrogant	101,25
Dent de Cuirboule	101,25
Éclat Kao brisé	101,25
Ethmoïde de Stalak	101,25
Étoffe de Grodruche	101,25
Fleur des protecteurs	101,25
Goulobule rouge	101,25
Griffe de Kanimate	101,25
Huile de Pikoleur	101,25
Malleus de Karkanik	101,25
Molaire de Nessil	101,25
Molaire de Ventrublion	101,25
Moustache de Frimar	101,25
Œil de Crocodaille albinos	101,25
Œil de Harpo	101,25
Oreille de Mécanofoux	101,25
Parasite Aquatique	101,25
Pédoncule de Mérulor	101,25
Pic de Ravageur	101,25
Pic du Nocturlabe	101,25
Pierre Angulaire	101,25
Pince de Krabouilleur	101,25
Plume de Cycloïde	101,25
Queue de Brikoglours	101,25
Queue de Sinistrofu	101,25
Scarabée Chrysonéfritin	101,25
Sel de Baleine	101,25
Sépale de Drosérâle	101,25
Sternum de Mansordide	101,25
Collier d'esclave	103,404
Lame tranchante	103,404
Terre Stérile	103,404
Germes corrompus	104,008
Grattoir à dos inachevé	105,662
Aigue-Marine	105,701
Seau de Pinces à Linge	106,425
Clef de la Tanière Givrefoux	109,69
Rossignol	111,382
Peau de Trithon	111,724
Ambre du Tynril	113,176
Œuf du Mansot Royal	113,176
Clef de l'Horologium de XLII	113,781
Masque de protection	116,541
Appendice Démoniaque	119,118
Bidoche Fraîche	119,725
Clef de la Demeure des Esprits	120,112
Clef du Boyau du Père Ver	121,401
Clef de la Cave du Toxoliath	123,986
Galet Lunaire	125
Clef du caveau du Roi Léorictus	125,801
Lanières de Knout	130,048
Rune Po	130,05
Pointes de Knout	132,417
Clef de l'Antre du Korriandre	135,044
Artefact Pandawushu	136,936
Clef de la Grotte du Bworker	141,132
Bézoard Ardent de Grozilla	142,327
Étoffe de Sphincter Cell	142,327
Scapula de Ben le Ripate	142,327
Poignée de Katana	142,936
Diacritique de la Reine Amirukam	144,643
Diacritique du Roi Imagami	144,643
Orbe régénérant majeur	150
Croc de Krokille	155,625
Jus de poisson asphyxiant	157,424
Clef de la Caverne de Nowel	159,939
Ambre de muldo	160
Gravure de Courant d'Air	160,716
Gravure de Crachin	160,716
Gravure de Secousse	160,716
Gravure d'Étincelle	160,716
Potion de Courant d'Air	161,836
Potion de Crachin	161,836
Potion de Secousse	161,836
Potion d'Étincelle	161,836
Clef du Temple du Grand Ougah	167,863
Chaussette du Kimbo	179,258
Queue de Kanigroula	179,258
Sabot du Minotot	179,258
Vertèbre d'Obsidiantre	179,258
Clef de la mine de Sakaï	183,117
Clef du Bastion des Marteaux-Aigris	187,753
Clef du Camp du Comte Razof	187,753
Clef du Défi du Chalœil	204,12
Pétale d'encre	205,006
Pétale de Papier	205,741
Clef du Palais du roi Nidas	206,693
Clef des cavernes du Kolosso	207,078
Clef du Trône de la Cour Sombre	209,671
Clef de la Pyramide d'Ombre	210,276
Planche hatoufer	219
Clef de l'Antichambre des Gloursons	219,528
Cuir de Tengu Givrefoux	226,852
Clef du Temple de Koutoulou	226,875
Clef du Vaisseau du Capitaine Meno	226,875
Clef du Palais de Dantinéa	232,692
Bidoche Saignante	237,261
Clef de l'Œil de Vortex	244,215
Galet rutilant	250
Clef de la Brasserie du roi Dazak	254,19
Clef de la Forgefroide de Missiz Frizz	254,19
Clef de la Sentence de la Balance	254,19
Clef de la Tempête de l'Eliocalypse	254,19
Clef de l'Aquadôme de Merkator	254,19
Clef des Fers de la Tyrannie	254,19
Clef des Salons privés de Klime	254,19
Clef du Donjon du Comte Harebourg	254,19
Clef du Laboratoire de Nileza	254,19
Clef du Transporteur de Sylargh	254,19
Clef du Trône de Sang	254,19
Clef du Ventre de la Baleine	254,19
Clef de l'Arbre de Mort	254,595
Gants de protection	257,475
Encre du Kralamoure géant	278,159
Fleur de Cendrepierre	280,748
Clef de la Maison du Papa Nowel	286,511
Fragment d'Ougalurette	289,613
Œil de Korriandre	289,613
Peau du Bworker	289,613
Clef de la Bataille de l'Aurore Pourpre	297,975
Clef de la Chambre de Tal Kasha	297,975
Clef de la Chambre des maléfices	297,975
Clef de la Tour de Bethel	297,975
Clef du Belvédère d'Ilyzaelle	297,975
Clef du Manoir des Katrepat	297,975
Clef du Sanctuaire de Torkélonia	297,975
Clef du Temple du dieu Kao	297,975
Substrat Astral	300
Bidoche Persillée	300,518
Clef de la Tour de Solar	302,578
Espadon Quichotte	305
Lame de Katana	335,437
Boucle intemporelle	337,5
Boucle temporelle	337,5
Cœur de Cire Momore	337,5
Clef du Rituel de Kabahal	338,475
Condyle de Fuji Givrefoux	375
Eclat temporel	375
Étoffe de Kolosso	375
Hamatum de Glourséleste	375
Bidoche Macérée	377,99
Boulon neuf	400
Fermeture éclair	400
Mycoses gelées	400
Œil de verre	400
Racine cristalline	400
Rune Ga Pme	405
Clef du Souvenir d'Imagiro	405,801
Clef de la Mémoire d'Orukam	416,451
Sceau Sylvestre	430
Orbe régénérant magistral	450
Bidoche de Brousse	475,207
Poche de magma de Grasmera	496,324
Croquette enrichie	500
Fragment de Rubis Fertile	500
Œuf d'Ali Grothor	500
Rune Ga Pa	500
Potion de Tsunami	502,11
Potion d'Incendie	502,11
Potion d'Ouragan	502,11
Gravure de Tsunami	505,79
Gravure d'Incendie	505,79
Gravure d'Ouragan	505,79
Bandelette du Comte Harebourg	506,25
Braguette de Nileza	506,25
Cœur de Merkator	506,25
Culotte de Missiz Frizz	506,25
Incisive de Sylargh	506,25
Scalp de Klime	506,25
Potion de Séisme	512,374
Gravure de Séisme	516,054
Poils de Zatoïshwan	550
Cuir Onique	600
Scalp d'Anatak	620
Galet Solaire	625
Filtre à frousse	640
Hélice en laiton	640
Marque des grands fonds	640
Plombs de plongée	640
Socle en coquillage	640
Steamopompe	640
Jus de poisson pestilentiel	670,925
Alliage Ivre	750
Cœur Gelé	750
Sporme de Dremoan	750
Épaulière Massive du K.O.	800
Bidoche Maigre	800,363
Jus de poisson méphitique	894,695
Légende de Brumaire	900
Bidoche Gâtée	967,647
Bidoche Noire	1253,425
Bidoche Goûtue	1569,389
